"cowID","date_birth","breed"
778,"1998-09-03","46"
779,"1998-09-04","46"
780,"1998-09-11","46"
781,"1998-09-26","84"
782,"1999-08-27","46"
783,"1999-09-12","46"
784,"1999-09-18","46"
785,"1999-09-26","46"
786,"1999-10-06","46"
787,"1999-10-06","46"
788,"1999-10-30","84"
789,"1999-11-30","46"
790,"1999-11-30","46"
791,"1999-12-10","84"
792,"2000-07-09","46"
793,"2000-08-23","46"
794,"2000-08-25","46"
795,"2000-08-25","46"
796,"2000-09-20","46"
797,"2000-09-20","46"
798,"2000-09-22","46"
799,"2000-09-22","46"
800,"2000-10-03","46"
801,"2000-10-14","46"
802,"2000-10-16","46"
803,"2000-10-23","46"
804,"2000-11-13","46"
805,"2000-11-15","46"
806,"2000-11-15","46"
807,"2000-11-15","46"
808,"2000-12-02","46"
809,"2001-07-28","46"
810,"2001-09-07","46"
811,"2001-09-07","46"
812,"2001-09-12","46"
813,"2001-09-21","46"
814,"2001-09-21","46"
815,"2001-09-25","46"
816,"2001-09-25","46"
817,"2001-09-29","46"
818,"2001-09-30","46"
819,"2001-10-04","46"
820,"2001-10-20","46"
821,"2001-11-11","46"
822,"2001-11-28","46"
823,"2001-11-30","46"
824,"2001-12-07","46"
825,"2002-09-07","46"
826,"2002-09-21","46"
827,"2002-09-21","46"
828,"2002-09-24","46"
829,"2002-09-24","46"
830,"2002-09-29","46"
831,"2002-11-02","46"
832,"2002-11-22","46"
833,"2003-01-01","46"
834,"2003-02-19","46"
835,"2003-03-22","46"
836,"2003-08-16","46"
837,"2003-08-18","46"
838,"2003-08-20","46"
839,"2003-08-26","46"
840,"2003-08-31","46"
841,"2003-09-01","46"
842,"2003-09-06","46"
843,"2003-09-10","46"
844,"2003-09-13","46"
845,"2003-09-20","46"
846,"2003-10-14","46"
847,"2003-10-23","46"
848,"2003-11-18","46"
849,"2003-11-24","46"
850,"2003-12-05","46"
851,"2003-12-19","46"
852,"2003-12-23","46"
853,"2003-12-24","46"
854,"2004-08-11","46"
855,"2004-08-19","46"
856,"2004-08-27","46"
857,"2004-08-27","46"
858,"2004-08-28","46"
859,"2004-09-04","46"
860,"2004-09-11","46"
861,"2004-09-14","46"
862,"2004-09-17","46"
863,"2004-09-28","46"
864,"2004-10-20","46"
865,"2004-10-25","46"
866,"2004-11-06","46"
867,"2004-11-10","46"
868,"2004-11-20","46"
869,"2004-12-13","46"
870,"2004-12-26","46"
871,"2005-08-15","46"
872,"2005-08-24","46"
873,"2005-08-25","46"
874,"2005-09-05","46"
875,"2005-09-07","46"
876,"2005-09-14","46"
877,"2005-09-29","46"
878,"2005-10-02","46"
879,"2005-10-04","46"
880,"2005-10-15","46"
881,"2005-10-22","46"
882,"2005-10-26","46"
883,"2005-10-26","46"
884,"2006-02-02","46"
885,"2006-05-02","46"
886,"2006-06-19","46"
887,"2006-07-06","46"
888,"2006-07-16","46"
889,"2006-07-29","46"
890,"2006-07-30","46"
891,"2006-07-30","46"
892,"2006-08-13","46"
893,"2006-09-03","46"
